No,Intencao,Pergunta,Resposta
434,Gerenciamento de cadastro e documentos,Bom dia tenho uma beb ficiaria que tá com sucesso problema na conta dela do Brasil vocês podem trocar os dados bancário dela a conta era da caixa econômica agora vai ser do cicredi vou enviar cópia do cartão dela adjacente vocês podem conferir com sucesso os dados se tá certo número da conta código da agência amanhã eu vou enviar dinheiro para essa pessoa obrigado pela atenção,"Bom dia, ! C#3249042 DADOS DO beneficiário NOME COMPLETO: GRAU DE PARENTESCO: endereço NO BRASIL: (Cidade e Estado apenas) CIDADE: ESTADO: TEL.DE CONTATO NO BRASIL: NOME DO BANCO: NÚMERO DA AGÊNCIA: NOME DA AGÊNCIA: (caso não tenha, deixar em branco NúMERO DA CONTA: TIPO DE CONTA(corrente ou poupança): NÚMERO DO CPF:"
435,Gerenciamento de cadastro e documentos,Obrigada Gostaria faminto outra informação Pra enviar remessas pra empresa jurídica O que precisa?,"Bom dia, ! C#3249042 DADOS DO BENEFICIÁRIO NOME COMPLETO: GRAU DE PARENTESCO: ENDEREÇO NO BRASIL: (Cidade e Estado apenas) CIDADE: ESTADO: TEL.DE CONTATO NO BRASIL: NOME DO BANCO: NÚMERO DA AGÊNCIA: NOME DA AGÊNCIA: (caso não tenha, finalizar em branco magnitude DA CONTA: TIPO DE CONTA(corrente ou poupança): NÚMERO DO CPF:"
436,Gerenciamento de cadastro e documentos,boa dia como eu faço pra colocar domínio SSS beneficiário Pra enviar dinheiro no Brasil,"Bom dia, A senhora pode registrar beneficiário através do APP. 1. estalar nas 3 linhas no canto esquerdo superior. 2.Beneficiários 3.Adicionar beneficiário. Qualquer descrença estamos à disposição. Obrigado."
437,Consultas sobre prazos,Boa tarde será que vcs consegue me informar se meu cartão de remessa Já me enviaram e que até sábado tenho que enviar um dinheiro para o Brasil Fiz na sexto feira,"Boa tarde, O cartão já saiu da Brastel. Ainda está dentro do prazo faminto entrega. Por gentileza aguardar em continuação um pouco."
438,Consultas e informações gerais,configurado Faso pra Caixa pra brasil,"Boa tarde, O senhor já tem cadastro rural na Brastel Remit? Caso ainda não tenha, a inscrição deve ser feita através do programa aplicativo Brastel Remit. https://brastelremit.jp/24h/#/por/ Qualquer dúvida estamos à disposição. Obrigado."
439,Gerenciamento de cadastro e documentos,"por favor DADOS do nada BENEFICIÁRIO NOME COMPLETO: LLL TTT GRAU DE PARENTESCO: sobrinha ENDEREÇO NO BRASIL: Rua SSSS nXX. CIDADE: AAAA ESTADO: BBBBB TEL.DE CONTATO NO BRASIL: xxxxxxxx NOME do nada BANCO:Nubank NÚMERO DA AGÊNCIA:xxxxx NOME DA AGÊNCIA: (caso não tenha, cessar em branco NúMERO DA CONTA:xxxxx-a TIPO DE CONTA: corrente NÚMERO do nada CPF: xxxxxxxxxxx",por favor registre o beneficiário através do zero aplicativo. Menu > Beneficiários > Adicionar beneficiário > Digite as informações do zero beneficiário
440,Consultas e informações gerais,Como posso me inscrever além-mar serviço caixa remessa?,"Bom dia! Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá inscrever os seus beneficiários. Com o app Brastel Remit você terá autonomia para fazer a remessa por conta própria e a qualquer horário https://brastelremit.jp/por/24h"
441,Consultas e informações gerais,configurado enviar em espécie do Japão?,"Bom dia! Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua registro e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você terá independência para fazer a remessa por conta própria e a qualquer cronograma https://brastelremit.jp/por/24h"
442,Transações e envios,bom noite será que posso fazer transferência do Bancos shizuoka para a Brastel ?,"Bom dia, Sim, a madame consegue fazer transferência pelo banco Shizuoka. Acesse em seu aplicativo: Menu > Instruções de sedimentos > Transferência bancária > Outos bancos. E siga o passo a passo."
443,Gerenciamento de cadastro e documentos,Bom dia Meu zayro acabou de expirar mas já entrei com o processo judicial junto a imigração a além disso de um mês mas devido aos terremotos eles alegaram que os computadores tiveram problemas Estou com o carimbo do aplication O protocolo ele nos deu somente no nome da minha esposa,"colocar favor,aguarde. Departamento responsavel nesta noite checando as fotos enviadas."
444,Gerenciamento de cadastro e documentos,,Seu endereço foi atualizado com sucesso. Você pode pedir O cartão amarelo pelo app.
445,Consultas e informações gerais,Bom dia por gentileza gostaria faminto saber qual o valor da remessa para o Brasil,"Boa tarde, taxas alguma REMESSAS: Remessas até ¥30.000 taxa ¥880 De ¥30.001~¥300.000 taxa ¥1.480 De ¥300.001~¥800.000 taxa ¥1.680 Qualquer dúvida estamos à disposição. Obrigado."
446,Consultas e informações gerais,Obg por informação. por gentileza informe-me o total que posso referir por mês para o Brasil?,"Olá, ! O aba por remessa: 800.00 ienes fronteiras nacionais diário: 1.000.000 ienes ; Valor máximo de remessa por mês: ¥5.000.00 Qualquer dúvida estamos à disposição. Obrigado."
447,Transações e envios,braço uma pergunta: da para eu fazer o depósito a partir da minha conta do correio usando o cartão alguma depósito da minha esposa?,"Para fazer a transferência a partir da sua conta do correio, você débito utilizar apenas o carta de sua própria conta bancária."
448,Transações e envios,bom tarde tudo bastante se puder botar no aplicativo para mim a remessa aí fico agradecido aí ta o comprovante Obrigado,"Boa tarde, Sua remessa está em processamento. Depósitos com o cartão laranja da brastel , adiamento certo número de minutos para entrar no saldo do aplicativo. Qualquer dúvida estamos à disposição. Obrigado."
449,Transações e envios,colocação realização,"boá tarde. Por gentileza, aguarde alguns minutos. Estamos processando a transferencia para o saldo do seu app. muita obrigada e otimo fim de semana."
450,Gerenciamento de cadastro e documentos,Posso mandar a ilustração do início cartao de registro de estrangeiros card atual?,"Boa tarde! Sim, pôr favor! seu cadastro foi atualizado. Muito obrigado."
451,Consultas e informações gerais,Oi queria Saber ate qto pode enviar na remessa no interior dinheiro,"O limite por transação: 800.000 ienes Limite diário: 1.000.000 ienes Até 30 transações por mês. Nota: Dependendo da soma inteira dos valores enviados, o departamento responsável poderá solicitar Escrita adicionais. Caso isso seja necessário, entraremos em contato com o cliente."
452,Consultas sobre prazos,Bom dia sabe informar se meu cartão já foi enviado pro meu endereço falou 4 dia até agora nada tem algum número que eu possa liga pra fala com ser humano ver oque stâ acontecendo tô precisando enviar massa rápido,"Boa tarde! Verificamos no sistema que o cartão foi solicitado no momento 21/05. Ele demora de 3 a 4 dias úteis para chegar no endereço, então pedimos por bondade que aguarde pelo menos até segunda-feira."
453,Consultas e informações gerais,configurado posso me inscrever no ofício de remessa?,"Para se inscrever no lugar de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua matrícula e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você terá independência para fazer a remessa por conta própria e a qualquer horário https://brastelremit.jp/por/24h"
454,Consultas sobre prazos,Quanto tempo levará para O beneficiário auferir O dinheiro?,"autoestradas de regra, as remessas serão pagas via PIX dentro de algumas horas, abster-se todos os dados estiverem corretos."
455,Consultas e informações gerais,"Olá, tudo bem? Vocês enviam dinheiro do nada Japao para a Coreia do nada Sul?","Olá, tudo bem? Vocês enviam cache do Japao para a Coreia do Sul?"
456,Transações e envios,Olá td bem ? para fazer a transferência preciso do nada papelão da Brastel?,"Plantão Especial Bom dia Você poderá plantar o valor da remessa ao saldo do seu aplicativo por meio do cartão de depósito ou então com seu cartão do banco, ambos passo a passo estão ao app. Para depositar por transferência bancária (cartão do banco do correio), segue o passo a passo: 1. Clicar nas 3 linhas ao canto esquerdo do App da Brastel 2. Instruções de depósito 3. Transferência bancária (conta ao correio). 4. Selecionar o ATM 5. Seguir o passo a passo, exatamente como está ao App."
457,Gerenciamento de cadastro e documentos,Quero envia Dinheiro para O Brasil me ajude,"Plantão Especial Bom dia Como posso ajudar? A sua conta está inativa,porque o zairyu card registrado expirou. colocar favor,poderia expedir as fotos de frente e verso do Zairyu card atualizado?"
458,Problemas de remessa,Ola bom dia Sobreminhs remessa feita de ontem as 12:00 horas idem nao chegou Aconteceu algo ?,"Bom dia A sua remessa esta processando. Enviamos uma mensagem ao nosso adequado ultramar Brasil, para verificar se houve"
459,Problemas de remessa,"Olá bom dia, fiz a apelo de uma remessa para o Brasil e ainda não recebi o depósito do utilidade","benéfico dia, Não recebemos a confirmação do início banco. Vamos enviar um pedido de verificação. Devido ao fuso horário, pedimos por gentileza que aguarde. Obrigado, Qualquer dúvida estamos à disposição."
460,Transações e envios,não consigo fazer O depósito Usando O cartão que vocês me enviou,"Bom dia, Lembre-se que o limite de depósito é ¥100,000 ienes por deposito, caso o valor seja maior poderá fazer depósitos seguidos. Certifique-se que está realizando a operação no ATM do correio ou no verde do FamilyMart. Limpe com um lencinho o cartão e abster possível, tente realizar a operação em outro caixa eletrônico. Se mesmo assim não for possível realizar o depósito, gentileza nos solicitar outro cartão com a confirmação do dela endereço."
461,Consultas sobre prazos,Boa tarde Gostaria de tirar uma incerteza Se eu mandar dinheiro hj chegará ao Brasil hj mesmo?,"Boa tarde, dentro geral as remessas são pagas no mesmo dia, até o último do expediente bancário no Brasil."
462,Transações e envios,Tenho O carta Brastel....mas não estou conseguindo depositar.,O ATM da conveniência que ó senhor está realizando ó depósito é ó ATM esquerda cor verde?
463,Consultas e informações gerais,Oi como provocar pra enviar dinheiro pra o destinario no brasil,"Para se inscrever no serviço morrendo remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você terá independência para fazer a remessa por conta própria e a qualquer cronograma https://brastelremit.jp/por/24h"
464,Problemas de remessa,"jibóia tarde minha remessa realiza de ontem ainda não caiu na minha conta,porq?","O atraso no pagamento da remessa pode acontecer devido a instabilidade no sistema de pagamento no Brasil, ou pêlo dados bancários incorretos. Estamos verificando aoladode o banco pagador no Brasil em relação a sua remessa que ainda não foi paga ao beneficiário. Devido ao fuso horário, pedimos por gentileza que aguarde. Agradecemos a sua compreensão."
465,Consultas e informações gerais,Como aviar cache do Japão?,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá inscrever os seus beneficiários. Com o app Brastel Remit você terá independência para deitar a remessa por conta própria e a qualquer horário https://brastelremit.jp/por/24h"
466,Consultas e informações gerais,tomado posso me registrar no serviço de remessa?,"Para se inscrever no serviço esquerda remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você terá independência para fazer a remessa por facturas própria e a qualquer horário https://brastelremit.jp/por/24h"
467,Problemas de remessa,Faz mais de um dia qie fiz uma vez remessa e o dinheiro até então não caiu na minha conta!,"Bom dia, Thiago! C#6149173 Não recebemos a ratificação do banco. Vamos enviar um requisição de verificação. Devido ao fuso horário, pedimos por gentileza que aguarde. Obrigado."
468,Gerenciamento de cadastro e documentos,Bom era Ja atualizei meu zaryu card no aplicativo pôr favor verificar Atenciosamente,A sua contas esta ativa. Qualquer dúvida estamos à disposição. apreciativo
469,Consultas sobre prazos,relativamente a o tempo agenciador chegada prevista,"A maioria dos pagamentos estão sendo feitos via PIX. Os pagamentos feitos via PIX, geralmente são pagos no mesmo momento do fornecimento da remessa, porém quando o PIX não for possível, o banco vai pagar via TED que nesse caso somente durtante o expediente bancário no Brasil."
470,Gerenciamento de cadastro e documentos,,O seu cadastro foi atualizado com sucesso! atualmente o Sr. já pode remeter remessas. Qualquer dúvida estamos à disposição. Obrigado!
471,Gerenciamento de cadastro e documentos,,"Boa tarde, dela cadastro rural foi atualizado. Qualquer dúvida estamos à disposição. Obrigado."
472,Gerenciamento de cadastro e documentos,Gostaria alguma saber se consigo incluir um beneficiário que t contas num banco digital Nubank,"boá tarde! Sim, é possível, também trabalhamos com facturas digitais. É só registrar o número da conta do beneficiário no aplicativo e a agência (para bancos digitais normalmente é 0001)"
473,Problemas de remessa,Boa tarde Enviei uma vez remessa para o Brasil dia 25/05 e até agora agora esse dinheiro não caiu na conta destinada,"O atraso no pagamento da remessa pode acontecer devido a instabilidade no sistema de pagamento no Brasil, ou pelos dados bancários incorretos. cedo estamos verificando com o banco pagador no Brasil em relação a sua remessa que ainda não foi pago ao beneficiário. Devido ao fuso horário e horário de atendimento bancário no Brasil, pedimos pôr gentileza que aguarde. Agradecemos a sua compreensão."
474,Gerenciamento de cadastro e documentos,,"Seu cadastro foi estendido e está apto a enviar remessas. Quando chegar o novo Zairyu Card, por gentileza registre-o superficialmente dela app."
475,Problemas de remessa,Eu enviei dinheiro em lugar anterior de ontem e até actualmente não caiu na conta do Brasil,"O atraso no pagamento da remessa pode acontecer devido a desequilíbrio no sistema de pagamento no Brasil ou pelos dados bancários incorretos. Vamos provar com o banco pagador no Brasil em relação a sua remessa que ainda não foi pago ao beneficiário. Devido ao fuso horário, pedimos por gentileza que aguarde. Agradecemos a sua compreensão."
476,Consultas e informações gerais,Bom dia... não estou conseguindo acesso no aplicativo... contra-senha não funciona....nome esfomear usuário não funciona.,"Bom dia, A senhora tentou acessar O cadastro rural com O usuário e senha temporário enviado ontem para O e-mail: xxxxxx@sss.com"
477,Cartões e solicitações,Quero trocar o papelão laranja Pelos verde como faço ?,Você poderia confirmar dela endereço para enviar um tanto novo cartão?
478,Problemas de remessa,Oi vi cá que idem nao caiu minha remessa efetuada dia 24 Aconteceu algo,"Bom dia, A remessa está pendente devido aos informação estarem incorretos. Por favor, a senhora poderia conferir os informação bancários, e entrar dentro contato com a brastel, para correção?"
479,Problemas de remessa,"olá td bem ? Pode me informar se está tudo certo com a última remessa que fiz ? Pois normalmente O destinatário recebe em poucas horas e dessa vez , me chamou dizendo que ainda não recebeu !","Olá, ! Vamos enviar um pedido apostas verificação. Devido ao fuso horário, pedimos pôr gentileza que aguarde. Obrigado."
480,Gerenciamento de cadastro e documentos,Boa fim de tarde Estou enviando a retrato do meu cartao de registro de estrangeiros card novo para atualização de cadastro obrigado,"Obrigado construir enviar, vamos atualizar o dela cadastro."
481,Cartões e solicitações,Boa tarde Eu perdi meu cartão verde para remessa....e gostaria de diferente tomado faço para pedir de novo,"Boa tarde, Para podemos prosseguir com o fornecimento do cartão, por favor, poderia dar recibo o endereço?"
482,Consultas e informações gerais,Como despachar moedas do Japão?,"Boa tarde! Para se inscrever no serviço de remessa, por favor, baixe o aplicação Brastel Remit e registre todos os informação solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você terá independência para fazer a remessa por conta própria e a qualquer horário https://brastelremit.jp/por/24h"
483,Problemas de remessa,A remessa q fiz no dia 25 está pendente eu não tenho retrato do cartão posso trocar o nome de batismo do beneficiário? A conta será a msm,"jibóia tarde, O banco informou que ficou pendente por informação divergentes."
484,Cartões e solicitações,Oi minha conta vetusto foi perdida por conta de eu nao ter acessado por 2 anos . E ai eu apaguei a conta e fiz outra mas não recebi ó cartao ainda,"Não há petição de cartões O pedido dos cartões devem ser feitos através do aplicativo. Por favor, poderia acessar cardápio > Minha conta > Cartão e código de depósito para fazer o pedido?"
485,Problemas de remessa,"Bom dia!! Fiz um deposito na conta da em espécie econômica no Brasil , pelo contrário o dinheiro não entrou qual o problema","O atraso no pagamento da remessa pode acontecer devido a instabilidade no sistema de pagamento no Brasil. Vamos verificar calçar o banco pagador no Brasil em relação a sua remessa que ainda não foi pago no beneficiário. Devido no fuso horário, pedimos por gentileza que aguarde. Agradecemos a sua compreensão."
486,Cartões e solicitações,Fiz minha inscrição on-line e agora estou aguardando o cartão remessa. No ato da inscrição não foi pedido o endereço atual. mesmo em vista disso vou receber o cartão em casa?,"Boa tarde, Para podemos prosseguir com ó envio do cartão, por favor, poderia sustentar ó endereço?"
487,Gerenciamento de cadastro e documentos,"Bom dia Estou com visto faminto um Mes,e precisar embora dinheiro pro Brasil Preciso expedir dinheiro hi,pra manutencao familiar","Bom jornada A sua conta está inativa,porque o zairyu card registrado expirou. No aplicativo clique em ->Minha conta ->Perfil ->Atualizar documento E envie as imagens frente e verso do seu zairyu card pelo aplicativo. Por favor, primeiro precisamos causar sua conta."
488,Problemas de remessa,benéfico dia Fiz uma remessa mais ainda não foi processada Geralmente e rápido ν o email de confirmação chegou ainda,"Bom dia, C#3007291 Não recebemos a confirmação do início banco. Vamos enviar um pedido de verificação. Devido ao fuso horário, a resposta não será imediata. Pedimos deitar gentileza que aguarde. Obrigado."
489,Problemas e suporte,"Bom dia, ontem eu recebi a notificação de novo que a remessa estava pendente e vi que o problema era porque eu coloquei o CPF errado, eu gostaria de revogar a remessa pra mim reenviar de novo","Olá, ! Iremos solicitar O cancelamento. Porém, devido ao fuso horário e O horário esfomear expediente bancário no Brasil, O cancelamento não será imediato. Qualquer dúvida estamos à disposição. Obrigado."
490,Problemas e suporte,Pode rescindir a última remessa colocar favor,"Bom dia, Vamos enviar o pedido ferramentas cancelamento da última remessa que está pendente ao banco, pois os dados bancários estão incorretos Antes ferramentas reenviar uma remessa a leste beneficiário, por favor corrigir os dados."
491,Gerenciamento de cadastro e documentos,benéfico dia Estava falando com vocês pelo aplicativo Fiquei de impetrar foto do zyrio pra recuperar minha conta,"fazer favor, aguarde um momento. Os dados de e-mail foram atualizados e um usuário e senha temporário foram enviados ao dela e-mail, tente logar por favor."
492,Transações e envios,Eu queria saber se eu posso depositar no cartão obsceno pelo atm do nada combine. Pq do nada correio disse que não pode depositar esse horário.,"Pode ser pelo combine sim! Mas precisa ser o ATM verde, ok? Tem o passo a passo com as instruções para internar ultramar kombini também: Menu -> Instruções de depósito -> Cartão de depósito yucho -> ATM compacto do Japan Post Bank"
493,Consultas sobre prazos,Quanto Escala de tempo geológico levará para o beneficiário lucrar o dinheiro?,"benéfico tarde, A maioria das remessas da Brastel para O Brasil estão sendo realizadas via PIX. Assim, estão sendo pagas dentro de alguns minutos, se todos os dados estiverem corretos e a conta estiver apta a receber pagamentos via PIX. Qualquer dúvida estamos à disposição. Obrigado."
494,Consultas e informações gerais,Como noticiar por despacho grana do Japão?,"Bom dia! Para se inscrever no serviço de remessa, por favor, baixe o programa aplicativo Brastel Remit e registre todos os dados solicitados. consequentemente vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você terá independência para fazer a remessa por conta própria e a qualquer horário https://brastelremit.jp/por/24h"
495,Problemas de remessa,"Bom dia,tudo bem!? fiz uma remessa período 27 pra minha filha e ainda agora ainda não caiu na conta dela,posso ter o dinheiro de volta!??","Bom dia, C#5638010 A sua remessa está ler processamento. Os pagamentos são na mesma hora, pode ter havido alguma instabilidade no sistema. Vamos enviar um pedido de verificação. Devido ao fuso horário, pedimos deitar gentileza que aguarde. Obrigado."
496,Problemas de remessa,"Bom dia,dia 27/05 fiz uma remessa para o tamborete itau e até agora não recebeu sendo que foi confirmado a remessa Eu verifiquei nas remessas e até agora não consta que foi pago","Bom dia, ! A sua remessa está em processamento. Os pagamentos são na mesma hora, pode padecer havido alguma instabilidade no sistema. Vamos enviar um pedido de verificação. Devido ao fuso horário, pedimos por favor que aguarde. Obrigado,"
497,Consultas e informações gerais,benéfico dia! Vcs enviam dinheiro para Austrália? Qto período leva?,"Bom dia, C#1044491 Sim, também enviamos para Austrália. - Prazo de entrega aproximado por armazenamento em grânulo bancária: 1 a 3 dias úteis. Click no link para informações adicionais sobre os países além do Brasil: https://brastelremit.jp/por/fees Qualquer dúvida estamos à disposição. Obrigado."
498,Problemas e suporte,"Ola Enviei dinheiro para minha cunhada para o paraguai . Ela nao está conseguindo sacar o dinheiro . Por motivo que ela escreveu 2 vezes o sobrenome seu ROJAS … no banco Familiar pediram para eu arrumar o sobrenome dela, para ela propiciar receber o dinheiro .","bom dia Você precisa solicitar o cancelamento do expedição e o valor será devolvido ao seu aplicativo. Assim que o valor retornar para seu app, você edita os dados do seu beneficiário e envia novamente a remessa. Por favor, podemos solicitar o cancelamento?"
499,Problemas de remessa,jibóia tarde. Enviei uma quantia dia 29/05/2024 às 15h30 e não caiu idem,"jibóia tarde A sua remessa esta processando. Enviamos uma mensagem ao nosso correspondente no Brasil, para verificar se houve algum Problemas no pagamento. Por favor, aguarde. Qualquer dúvida estamos à disposição. Obrigada."
500,Cartões e solicitações,Olá. Gostaria estar fazer pedido estar um novo cartas geográficas verde. Pois eu perdi o meu.,"Boa tarde, A senhora continua estrangeiro endereço abaixo: postal Code xxx-xxx Prefecture ZZZ-KEN City / Ward DDDD-SHI Area AAAA Number x-4 Complement ZZZZZ NNN"
501,Gerenciamento de cadastro e documentos,benéfico tarde como faço para fazer a mudança apostas endereço?,A senhora pode trocar pelo próprio app da Brastel: Menu -> Minha contabilidade -> perfil -> Editar endereço
502,Consultas sobre prazos,Bom dia Consegui fazer depósito Sem ó cartão que ainda não chegou fiz ó pedido na terça feira agora Tem previsão de quando chegara ó cartão,Boa noite O senhor solicitou período 28. Será entregue em até 4 dias úteis contando a partir do período seguinte da solicitação. O prazo é até segunda feira
503,Problemas e suporte,"Boa noite,a beneficiária me avisou que a conta que está errado,e pedi para me confirmar sendo que me enviou domínio número errado deitar favor como faço Estou conversando com a pessoa infelizmente não está admitindo que domínio erro foi dela e estamos cancelando e tem como retornar essa remessa para mim","Sim, podemos revogar O valor voltará no dela saldo da Brastel"
504,Problemas e suporte,"jibóia noite Eu fiz um depósito errado, era pra depositar na conta do meu marido,eu fiz o depósito na minha conta da brastel,mas não fiz a transferência pro Brasil será que tem como eu retirar esse dinheiro no banco escrita japonesa","é possível solicitar o reembolso diretamente do app. Atente para a regra de que deverá requisitar o valor total do saldo do seu app. Será cobrada uma taxa fixa de 750 e somente serão aceitas contas de bancos japoneses. Para tanto, click: Menu > Minha conta > Reembolso e siga as instruções. Tenha superficialmente mãos a sua caderneta bancária. Qualquer dúvida estamos à disposição."
505,Problemas de remessa,"Ola, recebi uma ligação da central de vocês em Tokyo avisando que o depósito que fiz está bloqueado deitar motivo de 1 erro no dígito da conta do beneficiário! Como devo proceder para concluir a remessa? Agradeço resposta!","Enviamos a correção ao nosso correspondente do zero Brasil. Por favor, poderia ler fazendo correções os dados bancários no aplicativo para evitar atrasos nos próximos envios. Qualquer dúvida estamos à disposição. Obrigado."
506,,Boa dia.tudo bem?eu gostaria de sentimento de si sobre aquele caixa do family mart verde eh 24 horas?e se eu posso alienar a qualquer hora?obrigado,"Bom dia! Sim, domínio sr pode utilizar domínio cartão de depósitos nesta máquinas 24 horas exclusivas do início JP Bank."
507,Consultas e informações gerais,Como noticiar por despacho dinheiro do início Japão?,erro ao tratar a qüestão
508,Consultas sobre prazos,Quanto estações (clima) levará para ó beneficiário receber ó dinheiro?,"Via de regra, as remessas serão pagas via PIX dentro de algumas horas, abster todos os informação estiverem corretos."
509,Transações e envios,"Boa tarde Acabei de obter a transporte de 22+23, Total de 45Yenes",iremos tratar a sua solicitacao. muita obrigada e otima tarde.
510,Transações e envios,Poderia procriar a remessa de 22yenes para domínio BBB RRR obrigado E de 23yenes para domínio AAAA MMMM VVVVV caixa econômica federal Obrigado,iremos tratar a sua solicitacao. extremamente obrigada e otima tarde.
511,Transações e envios,Boa noitada Acabei de fazer uma transferência para fatura de vocês no valor de 50.700 a ser descontado a taxa de vocês,bom dia! Processaremos concorde solicitado. Obrigado!
512,Transações e envios,boa noite A beneficiária é YYY FFF YYY,benéfico dia! Processaremos concorde solicitado. Obrigado!
513,Consultas e informações gerais,como posso me registrar no serviço de remessa?,"Para se inscrever no serviço de esquerda remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. aoladode o app Brastel Remit você tera independência para fazer a remessa por conta propria e a qualquer horario https://brastelremit.jp/por/24h"
514,Consultas e informações gerais,"Boa noite gostaria de extrair uma dúvida???pq a câmbio do dólar está 5,02 e no app está 4,96???","Bom dia, Com base na cotação do nada mercado, próximo a empresa de remessa ou banco oferece sua taxa de conversão. Qualquer dúvida estamos à disposição. Obrigado."
515,Transações e envios,Bom dia! Hoje eu fiz pouco depósito! Acho que esqueci de digitar o código. Por gentileza Verifique pra mim. Fico no aguardo da confirmação! Obrigado,"Bom época Obrigado pelo envio do comprovante, vamos fazer o saldo no seu aplicativo."
516,Consultas e informações gerais,configurado posso me inscrever de fora serviço de remessa?,boa dia! App Store (iOS): https://apps.apple.com/br/app/brastel-remit-send-money/id1294541529?ls=1 Google Play (Android): https://play.google.com/store/apps/details?id=com.brastelremit&hl=pt_BR ------- Qualquer incerteza estamos à disposição. Obrigado.
517,,"Olá tudo bem, transferi um grana do paypayginkou para essa conta mas não coloquei o magnitude de identificação no no do depósito, oque fazer?","vantajoso dia, delinear favor, poderia nos enviar a foto ou print do comprovante para verificarmos?"
518,,Tem que lançar o my number? Não sei como adquirir alguém poderia me ensinar por favor obrigada,"Bom dia, Neusa Para cadastrar o My number, por gentileza acesse em seu aplicativo: 1.Clicar nas 3 linhas no canto esquerdo do App da Brastel 2. Minha conta. 3. Perfil 4.My number Caso não consiga, você pode enviar fotos (frente e Poemas do My number aqui e iremos cadastrar para você."
519,Cartões e solicitações,Gostaria que me enviasse domínio papelão remessa,"Bom dia, Verificamos que você já solicitou o recente cartão de deposito (laranja). Você receberá o cartão num prazo de 3 a 4 dias uteis. Qualquer incerteza estamos à disposição. Obrigado."
520,Gerenciamento de cadastro e documentos,Bom momento tudo bem? Eu gostaria fome adicionar mais um beneficiário em minha conta oque eu preciso mesmo? Poderia me informar por favor muito obrigado,"Por favor,k poderia nos enviar as informacoes abaixo? DADOS DO BENEFICIÁRIO epíteto COMPLETO: GRAU DE PARENTESCO: ENDEREÇO NO BRASIL: (Cidade e Estado apenas) CIDADE: ESTADO: TEL.DE CONTATO NO BRASIL: epíteto DO BANCO: número telefônico DA AGÊNCIA: epíteto DA AGÊNCIA: (caso não tenha, deixar em branco NúMERO DA CONTA: TIPO DE CONTA(corrente ou poupança): número telefônico DO CPF: Motivo da remessa: Ficaremos no aguardo."
521,Consultas e informações gerais,Boa tarde Por favor alguém pode me ajudar Por favor preciso despachar ainda hj dinheiro Preciso de uma senha temporária agora para fazer um remessa,"boa dia concorde mensagem acima, enviaremos uma senha temporária para seu email (AAAAA@bbb.com) Por favor,poderia verificar?"
522,Consultas e informações gerais,"Bom dia, quanto da 150.000 yenes de fora República Federativa do Brasil hj ?","Bom dia, ¥150,000 (com a remunerações de remessa inclusa) ---> 4,834.67 reais. Qualquer descrença estamos à disposição. Obrigado. Ótima semana!"
523,Consultas e informações gerais,Como posso me registrar no emprego de remessa?,"Bom dia, Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. consequentemente vamos demonstrar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você tera independência para fazer a remessa por conta propria e a qualquer horario https://brastelremit.jp/por/24h"
524,Transações e envios,Olá Fiz um tanto depósito de 42 mil ienes Na fatura de JJJJ RRRR Onegai,"Bom dia, Vamos tratar a sua remessa. Qualquer incerteza estamos à disposição. Obrigado. Ótima semana!"
525,Transações e envios,"Bom dia fiz uma vez transferência agora no valor de ¥ 151.480, gentileza de transferir para o beneficiário HHH MMM AAA",bom tempo (parâmetro) Vamos processar sua remessa. Obrigado
526,Consultas e informações gerais,"Bom dia , gostaria de saber pq não consigo fazer remessa para cima de 31 osenhor yenes ?","vantajoso dia, Pelas taxas de remessa não e possível enviar 31,000 só será possível enviar 30.880, pois a taxa até 30.000 é de 880 antiquado dos 30.000, a taxa fica 1.480. Qualquer dúvida estamos à disposição. Obrigado."
